"Ref","Status","OccCode","OccDescription","Refund","Estimate","TaxIncome","LodgeDate"
"WALS0001","6","441312","Police officer","Y","6539.08","91155","08/07/2023"
"WALS0002","10","","","","0.00","0",""
"WALT0001","10","","","","0.00","0",""
"WALT0002","10","","","","0.00","0",""
"WANG0001","6","222311","Financial adviser","Y","7208.80","97217","09/08/2023"
"WANG0002","1","","","Y","11466.71","133618",""
"WARB0001","10","","","","0.00","0",""
"WARB0002","10","","","","0.00","0",""
"WARD0001","10","","","","0.00","0",""
"WARN0001","10","","","","0.00","0",""
"WARR0001","10","","","","0.00","0",""
"WARR0002","6","241411","Secondary school","Y","734.12","54158","22/07/2023"
"WARR0003","6","441312","Police officer","Y","1127.75","120182","02/08/2023"
"WARW0001","6","441312","Police officer","Y","1915.91","123427","22/07/2023"
"WARW0002","6","441312","Police officer","Y","1005.74","99528","19/07/2023"
"WATE0001","10","","","","0.00","0",""
"WATT0001","6","441312","Police officer","","2717.40","78523","22/07/2023"
"WATT0002","10","","","","0.00","0",""
"WEAK0001","0","","","","0.00","0",""
"WEAR0001","10","","","","0.00","0",""
"WEBS0001","10","","","","0.00","0",""
"WEBS0002","6","441312","Police officer","Y","2240.63","92954","26/07/2023"
"WEBS0003","6","441312","Police officer","Y","423.08","79457","22/07/2023"
"WEIH0001","6","441312","Police officer","Y","1434.06","93873","09/08/2023"
"WELL0001","5","","","Y","2322.16","24808",""
"WELL0002","10","441312","Police officer","Y","4451.99","91058",""
"WELL0003","10","","","","0.00","0",""
"WELL0004","0","","","","0.00","0",""
"WELS0001","10","","","","0.00","0",""
"WELS0002","10","","","","0.00","0",""
"WENH0001","0","","","","0.00","0",""
"WEST0001","10","441312","Police officer","","0.00","0",""
"WEST0002","5","254416","Mental health nurse","","3866.60","123592",""
"WEST0003","0","","","","0.00","0",""
"WETH0001","6","441312","Police officer","Y","1755.08","114676","28/07/2023"
"WHEE0001","10","","","","0.00","0",""
"WHEE0002","10","","","","0.00","0",""
"WHIT0001","10","","","","0.00","0",""
"WHIT0003","10","","","","0.00","0",""
"WHIT0004","1","","","","6.40","64339",""
"WHIT0005","10","","","","0.00","0",""
"WHIT0006","10","","","","0.00","0",""
"WHYT0001","10","","","","0.00","0",""
"WICK0001","10","","","","0.00","0",""
"WILK0001","10","","","","0.00","0",""
"WILK0002","6","441312","Police officer","Y","1440.18","104588","22/07/2023"
"WILL0001","10","","","","0.00","0",""
"WILL0002","10","","","","0.00","0",""
"WILL0003","10","","","","0.00","0",""
"WILL0004","0","","","","0.00","0",""
"WILS0001","0","441312","Police officer","","659.25","110729",""
"WILS0002","10","","","","0.00","0",""
"WIND0001","6","441312","Police officer","Y","1880.09","80907","07/08/2023"
"WIND0002","6","252511","Physiotherapist","","24.30","157206","05/08/2023"
"WINT0001","6","441312","Police officer","Y","606.76","137916","10/07/2023"
"WINW0001","10","","","","0.00","0",""
"WISS0001","4","441312","Police officer","Y","1073.75","116750",""
"WISS0002","4","511112","Administrative officer","","640.60","55792",""
"WITH0001","0","","","","0.00","0",""
"WITH0002","10","","","","0.00","0",""
"WOOD0001","10","","","","0.00","0",""
"WOOD0002","6","441312","Police officer","Y","2025.60","105505","11/08/2023"
"WOOD0003","10","","","","0.00","0",""
"WOOD0004","10","","","","0.00","0",""
"WOOL0001","6","441312","Police officer","Y","939.76","104507","02/08/2023"
"WPAV0001","0","","","","0.00","0",""
"WREP0001","0","","","","0.00","-3594",""
"WRIG0001","6","441312","Police officer","","200.80","133712","07/08/2023"
"WRIG0002","10","","","","0.00","0",""
"WRIG0003","0","","","","0.00","0",""
"YARZ0001","0","","","","0.00","0",""
"YEOM0001","10","441312","Police officer","Y","476.48","125068",""
"YOUN0001","6","441312","Police officer","Y","1925.95","119690","26/07/2023"
"YOUN0002","10","","","","0.00","0",""
"YOUN0003","10","","","","0.00","0",""
"YOUS0001","6","441312","Police officer","","1653.30","132688","22/07/2023"
"YOUS0001","8","441312","Police officer","","1653.30","132688",""
"ZAKI0001","10","","","","0.00","0",""
"ZAMM0001","1","","","Y","436.66","52882",""
"ZURE0001","6","441312","Police officer","Y","2389.50","144950","08/07/2023"
